ID,Product Name,Product Category,Voltage Rating,Conductor Material,Conductor Type,Number of Cores,Insulation Material,Armoring Type,Outer Sheath,Standards,Key Features,Applications,Description
1,Polycab MV 15kV AL UL 1072 TRXLPE 133%,MV Power Cable,15kV,Aluminum Alloy,Class B Compact Stranded 8000 series,Single Core,TRXLPE (133% insulation level),Copper Tape,PVC Sheath,"UL 1072, ICEA S-97-682, ICEA S-93-639","High life, Sunlight resistance, Moisture resistant, Corona resistant, Flame retardant","Power transmission and distribution, wet and dry areas, conduits, ducts, direct burial","Class B compact stranded 8000 series aluminum alloy conductor, semiconducting extruded, crosslinked TRXLPE insulated, semiconducting extruded, copper taped and overall PVC sheathed 15 KV MV cable"
2,Polycab MV SC Cu EPR ICEA/NEMA 25kV,MV Power Cable,25kV,Copper,Stranded,Single Core,EPR,Copper Tape,PVC,ANSI/ICEA S-93-639,"Flame Retardant, High life, Sunlight resistant, Oil/acid/alkalis resistant, Corona resistant, Treeing resistant","Conduits, ducts, troughs, trays, direct burial","Stranded Cu conductor, EPR insulation with semi-conductive layer in triple extrusion, Cu tape screen, PVC outer sheath 25kV single core MV Power cable"
3,Polycab BS 6724 MC SWA LSZH 1.9/3.3kV AC,MV Power Cable,1.9/3.3kV,Copper,Multi Core,3 Core,XLPE,Steel Wire Armored (SWA),LSZH,BS 6724,"LSZH, Armored construction","Building wiring, industrial installations","Multi-core copper conductor with XLPE insulation, steel wire armored with LSZH outer sheath for 1.9/3.3kV AC applications"
4,Polycab MV Cu BS 6622 12.7/22kV,MV Power Cable,12.7/22kV,Copper,Stranded Compacted,Single/Multi Core,XLPE,Copper Tape,PVC/HDPE,BS 6622,"UV resistant, Chemical resistant, Weather resistant, Water resistant","Power distribution, external and direct burial, underground installations",Copper conductor with XLPE insulation conforming to BS 6622 standard for medium voltage applications
5,Polycab MV AL BS 7870-4-20 6.35/11kV,MV Power Cable,6.35/11kV,Aluminum,Stranded Compacted,Single Core,XLPE,Metallic Screen,PVC/HDPE,BS 7870-4-20,"Long life, UV resistant, Chemical resistant","Power transmission networks, utilities",Aluminum conductor with XLPE insulation designed for 6.35/11kV applications following BS 7870 standards
6,Polycab MV SC AL XLPE AS-NZS 3.8/6.6kV,MV Power Cable,3.8/6.6kV,Aluminum,Stranded,Single Core,XLPE,Copper Tape Screen,PVC,AS-NZS 1429.1,"Long life, UV resistant, Water resistant","Commercial, Industrial, Urban/Residential networks","Stranded aluminum conductor, XLPE insulation with semi-conductive layer, copper tape screen for Australian/New Zealand applications"
7,Polycab MV AL BS 7835 19/33(36)kV,MV Power Cable,19/33(36)kV,Aluminum,Stranded Compacted,Single Core,XLPE,Metallic Screen,PVC/HDPE,BS 7835,"High voltage capacity, Weather resistant","High voltage transmission, utility applications",High voltage aluminum conductor cable with XLPE insulation for 19/33kV transmission applications
8,Polycab MV IS 7098-II 3C A2XWY/A2XFY 6.35/11kV(E),MV Power Cable,6.35/11kV(E),Aluminum,Stranded,3 Core,XLPE,GI Armored,PVC,IS 7098-II,"Flame retardant, UV resistant, Higher dielectric strength, Better mechanical properties","Power distribution, external and direct burial","Stranded aluminum conductor, XLPE insulation, cores laid up, inner sheathed, GI armored with overall outer sheath"
9,Polycab MV 3C Cu EPR ICEA/NEMA 5kV,MV Power Cable,5kV,Copper,Stranded,3 Core,EPR,Copper Tape,PVC,ANSI/ICEA S-93-639,"Flame Retardant, High life, Sunlight resistant, Oil resistant, Corona resistant","Conduits, ducts, troughs, trays, direct burial","Stranded Cu conductor, EPR insulation with semi-conductive layer, Cu tape screen, cores laid up, PVC outer sheath"
10,Polycab MV 1T Cu XLPE AS-NZS 6.35/11kV,MV Power Cable,6.35/11kV,Copper,Stranded,Single Core,XLPE,Copper Screen,PVC/HDPE,AS/NZS 1429.1,"Long life, UV resistant, Chemical resistant, Water resistant","Commercial, Industrial, Urban networks",Single core copper conductor with XLPE insulation for Australian/New Zealand applications
11,Polycab MV AL IEC 60502-2 8.7/15kV,MV Power Cable,8.7/15kV,Aluminum,Circular Compacted,Single/Multi Core,XLPE,Copper Tape,PVC,IEC 60502-2,"High life, Sunlight resistance, Oil resistant, Flame retardant","Power distribution, external and direct burial","Circular compacted aluminum conductor, XLPE insulated, copper tape screened with PVC outer sheath"
